"","name","updated","value","date","year","month","week"
"1","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.482,2022-11-07,2022,11,45
"2","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.266,2022-10-31,2022,10,44
"3","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.36,2022-10-24,2022,10,43
"4","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.462,2022-10-17,2022,10,42
"5","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.558,2022-10-10,2022,10,41
"6","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.248,2022-10-03,2022,10,40
"7","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.1,2022-09-26,2022,9,39
"8","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.076,2022-09-19,2022,9,38
"9","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.212,2022-09-12,2022,9,37
"10","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.32,2022-09-05,2022,9,36
"11","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.373,2022-08-29,2022,8,35
"12","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.459,2022-08-22,2022,8,34
"13","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.499,2022-08-15,2022,8,33
"14","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.659,2022-08-08,2022,8,32
"15","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.854,2022-08-01,2022,8,31
"16","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.046,2022-07-25,2022,7,30
"17","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.238,2022-07-18,2022,7,29
"18","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.372,2022-07-11,2022,7,28
"19","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.536,2022-07-04,2022,7,27
"20","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.647,2022-06-27,2022,6,26
"21","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.742,2022-06-20,2022,6,25
"22","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.803,2022-06-13,2022,6,24
"23","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.579,2022-06-06,2022,6,23
"24","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.264,2022-05-30,2022,5,22
"25","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",5.133,2022-05-23,2022,5,21
"26","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.929,2022-05-16,2022,5,20
"27","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.672,2022-05-09,2022,5,19
"28","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.467,2022-05-02,2022,5,18
"29","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.447,2022-04-25,2022,4,17
"30","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.39,2022-04-18,2022,4,16
"31","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.411,2022-04-11,2022,4,15
"32","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.473,2022-04-04,2022,4,14
"33","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.535,2022-03-28,2022,3,13
"34","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.531,2022-03-21,2022,3,12
"35","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.57,2022-03-14,2022,3,11
"36","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",4.403,2022-03-07,2022,3,10
"37","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",3.921,2022-02-28,2022,2,9
"38","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",3.722,2022-02-21,2022,2,8
"39","Chicago Regular All Formulations Retail Gasoline Prices, Weekly","2022-11-07T19:19:53-0500",3.681,2022-02-14,2022,2,7
