"","name","updated","value","date","year","month","week"
"1","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.159,2022-12-26,2022,12,52
"2","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.216,2022-12-19,2022,12,51
"3","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.33,2022-12-12,2022,12,50
"4","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.484,2022-12-05,2022,12,49
"5","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.619,2022-11-28,2022,11,48
"6","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.704,2022-11-21,2022,11,47
"7","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.791,2022-11-14,2022,11,46
"8","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.847,2022-11-07,2022,11,45
"9","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.724,2022-10-31,2022,10,44
"10","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.536,2022-10-24,2022,10,43
"11","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.574,2022-10-17,2022,10,42
"12","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.475,2022-10-10,2022,10,41
"13","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.305,2022-10-03,2022,10,40
"14","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.361,2022-09-26,2022,9,39
"15","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.471,2022-09-19,2022,9,38
"16","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.569,2022-09-12,2022,9,37
"17","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.652,2022-09-05,2022,9,36
"18","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.803,2022-08-29,2022,8,35
"19","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.916,2022-08-22,2022,8,34
"20","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.027,2022-08-15,2022,8,33
"21","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.153,2022-08-08,2022,8,32
"22","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.262,2022-08-01,2022,8,31
"23","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.365,2022-07-25,2022,7,30
"24","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.475,2022-07-18,2022,7,29
"25","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.603,2022-07-11,2022,7,28
"26","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.722,2022-07-04,2022,7,27
"27","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.829,2022-06-27,2022,6,26
"28","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.897,2022-06-20,2022,6,25
"29","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.983,2022-06-13,2022,6,24
"30","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.879,2022-06-06,2022,6,23
"31","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.81,2022-05-30,2022,5,22
"32","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.799,2022-05-23,2022,5,21
"33","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.684,2022-05-16,2022,5,20
"34","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.462,2022-05-09,2022,5,19
"35","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.199,2022-05-02,2022,5,18
"36","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.043,2022-04-25,2022,4,17
"37","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.968,2022-04-18,2022,4,16
"38","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.003,2022-04-11,2022,4,15
"39","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.085,2022-04-04,2022,4,14
"40","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.161,2022-03-28,2022,3,13
"41","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.219,2022-03-21,2022,3,12
"42","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.321,2022-03-14,2022,3,11
"43","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",4.263,2022-03-07,2022,3,10
"44","New York City Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-27T19:49:12-0500",3.684,2022-02-28,2022,2,9
