"","name","updated","value","date","year","month","week"
"1","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.369,2022-12-12,2022,12,50
"2","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.593,2022-12-05,2022,12,49
"3","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.785,2022-11-28,2022,11,48
"4","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.018,2022-11-21,2022,11,47
"5","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.255,2022-11-14,2022,11,46
"6","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.26,2022-11-07,2022,11,45
"7","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.353,2022-10-31,2022,10,44
"8","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.58,2022-10-24,2022,10,43
"9","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.993,2022-10-17,2022,10,42
"10","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.22,2022-10-10,2022,10,41
"11","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.359,2022-10-03,2022,10,40
"12","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.778,2022-09-26,2022,9,39
"13","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.388,2022-09-19,2022,9,38
"14","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.378,2022-09-12,2022,9,37
"15","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.158,2022-09-05,2022,9,36
"16","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.19,2022-08-29,2022,8,35
"17","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.425,2022-08-22,2022,8,34
"18","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.445,2022-08-15,2022,8,33
"19","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.454,2022-08-08,2022,8,32
"20","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.599,2022-08-01,2022,8,31
"21","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.703,2022-07-25,2022,7,30
"22","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.804,2022-07-18,2022,7,29
"23","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.934,2022-07-11,2022,7,28
"24","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.114,2022-07-04,2022,7,27
"25","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.19,2022-06-27,2022,6,26
"26","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.283,2022-06-20,2022,6,25
"27","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.384,2022-06-13,2022,6,24
"28","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.335,2022-06-06,2022,6,23
"29","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.155,2022-05-30,2022,5,22
"30","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",6.042,2022-05-23,2022,5,21
"31","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.921,2022-05-16,2022,5,20
"32","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.77,2022-05-09,2022,5,19
"33","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.557,2022-05-02,2022,5,18
"34","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.556,2022-04-25,2022,4,17
"35","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.56,2022-04-18,2022,4,16
"36","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.634,2022-04-11,2022,4,15
"37","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.748,2022-04-04,2022,4,14
"38","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.789,2022-03-28,2022,3,13
"39","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.766,2022-03-21,2022,3,12
"40","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.697,2022-03-14,2022,3,11
"41","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",5.277,2022-03-07,2022,3,10
"42","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.789,2022-02-28,2022,2,9
"43","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.725,2022-02-21,2022,2,8
"44","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.673,2022-02-14,2022,2,7
"45","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.627,2022-02-07,2022,2,6
"46","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.617,2022-01-31,2022,1,5
"47","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.626,2022-01-24,2022,1,4
"48","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.642,2022-01-17,2022,1,3
"49","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.645,2022-01-10,2022,1,2
"50","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.645,2022-01-03,2022,1,1
"51","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.634,2021-12-27,2021,12,52
"52","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.647,2021-12-20,2021,12,51
"53","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.657,2021-12-13,2021,12,50
"54","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.688,2021-12-06,2021,12,49
"55","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.697,2021-11-29,2021,11,48
"56","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.716,2021-11-22,2021,11,47
"57","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.716,2021-11-15,2021,11,46
"58","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.701,2021-11-08,2021,11,45
"59","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.659,2021-11-01,2021,11,44
"60","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.578,2021-10-25,2021,10,43
"61","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.496,2021-10-18,2021,10,42
"62","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.406,2021-10-11,2021,10,41
"63","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.389,2021-10-04,2021,10,40
"64","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.322,2021-09-27,2021,9,39
"65","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.333,2021-09-20,2021,9,38
"66","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.339,2021-09-13,2021,9,37
"67","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.326,2021-09-06,2021,9,36
"68","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.327,2021-08-30,2021,8,35
"69","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.348,2021-08-23,2021,8,34
"70","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.388,2021-08-16,2021,8,33
"71","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.354,2021-08-09,2021,8,32
"72","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.322,2021-08-02,2021,8,31
"73","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.262,2021-07-26,2021,7,30
"74","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.286,2021-07-19,2021,7,29
"75","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.264,2021-07-12,2021,7,28
"76","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.228,2021-07-05,2021,7,27
"77","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.242,2021-06-28,2021,6,26
"78","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.212,2021-06-21,2021,6,25
"79","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.227,2021-06-14,2021,6,24
"80","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.204,2021-06-07,2021,6,23
"81","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.166,2021-05-31,2021,5,22
"82","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.123,2021-05-24,2021,5,21
"83","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.089,2021-05-17,2021,5,20
"84","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.082,2021-05-10,2021,5,19
"85","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",4.013,2021-05-03,2021,5,18
"86","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.95,2021-04-26,2021,4,17
"87","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.922,2021-04-19,2021,4,16
"88","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.878,2021-04-12,2021,4,15
"89","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.876,2021-04-05,2021,4,14
"90","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.861,2021-03-29,2021,3,13
"91","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.836,2021-03-22,2021,3,12
"92","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.821,2021-03-15,2021,3,11
"93","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.667,2021-03-08,2021,3,10
"94","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.587,2021-03-01,2021,3,9
"95","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.49,2021-02-22,2021,2,8
"96","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.394,2021-02-15,2021,2,7
"97","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.349,2021-02-08,2021,2,6
"98","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.341,2021-02-01,2021,2,5
"99","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.348,2021-01-25,2021,1,4
"100","San Francisco Regular All Formulations Retail Gasoline Prices, Weekly","2022-12-12T19:21:21-0500",3.331,2021-01-18,2021,1,3
